Node,Demand,Pattern,Category
1,0.000634,Domestic,
1,0.000729,Domestic,
1,0.001332,Domestic,
1,0.001903,Domestic,
1,0.001966,Domestic,
1,0.004186,Domestic,
1,0.004852,Domestic,
1,0.005391,Domestic,
10,3.20E-05,Domestic,
10,0.000317,Domestic,
10,0.001776,Domestic,
10,0.001776,Domestic,
10,0.002917,Domestic,
10,0.004471,Domestic,
10,0.005105,Domestic,
10,0.006501,Domestic,
100,9.50E-05,Domestic,
100,0.000602,Domestic,
100,0.000666,Domestic,
100,0.000729,Domestic,
100,0.000729,Domestic,
100,0.000856,Domestic,
100,0.000888,Domestic,
100,0.00111,Domestic,
100,0.001205,Domestic,
100,0.001268,Domestic,
100,0.001871,Domestic,
100,0.002029,Domestic,
100,0.002061,Domestic,
100,0.002251,Domestic,
100,0.002283,Domestic,
100,0.002473,Domestic,
100,0.002664,Domestic,
100,0.002695,Domestic,
100,0.002822,Domestic,
100,0.003076,Domestic,
100,0.003076,Domestic,
100,0.003234,Domestic,
100,0.003361,Domestic,
100,0.003773,Domestic,
100,0.003869,Domestic,
100,0.003964,Domestic,
100,0.004059,Domestic,
100,0.004154,Domestic,
100,0.004249,Domestic,
100,0.004471,Domestic,
100,0.005074,Domestic,
100,0.005105,Domestic,
100,0.005327,Domestic,
100,0.006532,Domestic,
100,0.016711,Domestic,
101,0.002029,Domestic,
101,0.002981,Domestic,
101,0.002981,Domestic,
101,0.003393,Domestic,
101,0.004344,Domestic,
101,0.005391,Domestic,
101,0.005676,Domestic,
102,0.000729,Domestic,
102,0.001332,Domestic,
102,0.002251,Domestic,
102,0.002917,Domestic,
102,0.002917,Domestic,
102,0.003837,Domestic,
102,0.004756,Domestic,
102,0.006215,Domestic,
102,0.007864,Domestic,
103,3.20E-05,Domestic,
103,6.30E-05,Domestic,
103,6.30E-05,Domestic,
103,0.000127,Domestic,
103,0.000127,Domestic,
103,0.000317,Domestic,
103,0.000412,Domestic,
103,0.000761,Domestic,
103,0.000983,Domestic,
103,0.000983,Domestic,
103,0.001078,Domestic,
103,0.001205,Domestic,
103,0.001427,Domestic,
103,0.001522,Domestic,
103,0.001585,Domestic,
103,0.001585,Domestic,
103,0.001617,Domestic,
103,0.001617,Domestic,
103,0.001681,Domestic,
103,0.001776,Domestic,
103,0.001807,Domestic,
103,0.001839,Domestic,
103,0.001871,Domestic,
103,0.002188,Domestic,
103,0.002505,Domestic,
103,0.002632,Domestic,
103,0.002695,Domestic,
103,0.002727,Domestic,
103,0.00279,Domestic,
103,0.00279,Domestic,
103,0.00279,Domestic,
103,0.002886,Domestic,
103,0.002949,Domestic,
103,0.003044,Domestic,
103,0.003108,Domestic,
103,0.003203,Domestic,
103,0.00333,Domestic,
103,0.003488,Domestic,
103,0.003551,Domestic,
103,0.003773,Domestic,
103,0.003869,Domestic,
103,0.003932,Domestic,
103,0.004027,Domestic,
103,0.004091,Domestic,
103,0.004122,Domestic,
103,0.004122,Domestic,
103,0.004217,Domestic,
103,0.004344,Domestic,
103,0.004376,Domestic,
103,0.004439,Domestic,
103,0.004535,Domestic,
103,0.004598,Domestic,
103,0.004693,Domestic,
103,0.004693,Domestic,
103,0.004693,Domestic,
103,0.004693,Domestic,
103,0.004693,Domestic,
103,0.004756,Domestic,
103,0.00482,Domestic,
103,0.004915,Domestic,
103,0.004947,Domestic,
103,0.004978,Domestic,
103,0.005264,Domestic,
103,0.005359,Domestic,
103,0.005518,Domestic,
103,0.00593,Domestic,
103,0.006025,Domestic,
103,0.006659,Domestic,
103,0.028063,Domestic,
104,0.00019,Domestic,
104,0.000444,Domestic,
104,0.000571,Domestic,
104,0.000761,Domestic,
104,0.00092,Domestic,
104,0.000951,Domestic,
104,0.001046,Domestic,
104,0.0013,Domestic,
104,0.001364,Domestic,
104,0.001617,Domestic,
104,0.001744,Domestic,
104,0.002251,Domestic,
104,0.002664,Domestic,
104,0.00279,Domestic,
104,0.003837,Domestic,
104,0.003995,Domestic,
104,0.004217,Domestic,
104,0.004598,Domestic,
104,0.005105,Domestic,
104,0.006342,Domestic,
104,0.008562,Domestic,
104,0.013477,Domestic,
104,0.01855,Domestic,
105,0.004439,Domestic,
106,0.00019,Domestic,
106,0.003012,Domestic,
106,0.003393,Domestic,
106,0.004408,Domestic,
106,0.005771,Domestic,
108,0.005327,Domestic,
108,0.006152,Domestic,
109,0.004091,Domestic,
109,0.004122,Domestic,
109,0.007325,Domestic,
11,0.001142,Domestic,
11,0.001364,Domestic,
11,0.002347,Domestic,
11,0.003108,Domestic,
11,0.003932,Domestic,
110,0.000444,Domestic,
110,0.001142,Domestic,
110,0.003361,Domestic,
110,0.004059,Domestic,
110,0.004281,Domestic,
110,0.005454,Domestic,
110,0.006881,Domestic,
111,9.50E-05,Domestic,
111,0.000888,Domestic,
111,0.001776,Domestic,
111,0.001807,Domestic,
111,0.003742,Domestic,
111,0.0039,Domestic,
111,0.004091,Domestic,
111,0.004535,Domestic,
111,0.006437,Domestic,
112,0.004217,Domestic,
112,0.0052,Domestic,
112,0.005771,Domestic,
112,0.007896,Domestic,
113,9.50E-05,Domestic,
113,9.50E-05,Domestic,
113,9.50E-05,Domestic,
113,0.000159,Domestic,
113,0.00019,Domestic,
113,0.000285,Domestic,
113,0.000476,Domestic,
113,0.000571,Domestic,
113,0.000602,Domestic,
113,0.000824,Domestic,
113,0.001015,Domestic,
113,0.001078,Domestic,
113,0.001268,Domestic,
113,0.001364,Domestic,
113,0.001459,Domestic,
113,0.001585,Domestic,
113,0.001585,Domestic,
113,0.002251,Domestic,
113,0.002251,Domestic,
113,0.002664,Domestic,
113,0.002727,Domestic,
113,0.002759,Domestic,
113,0.00279,Domestic,
113,0.002822,Domestic,
113,0.002886,Domestic,
113,0.002949,Domestic,
113,0.004661,Domestic,
113,0.005264,Domestic,
113,0.005644,Domestic,
113,0.006025,Domestic,
113,0.006183,Domestic,
113,0.006183,Domestic,
113,0.007071,Domestic,
113,0.007832,Domestic,
113,0.008847,Domestic,
114,0.000254,Domestic,
114,0.000349,Domestic,
114,0.000793,Domestic,
114,0.000951,Domestic,
114,0.001046,Domestic,
114,0.001268,Domestic,
114,0.001459,Domestic,
114,0.001681,Domestic,
114,0.002029,Domestic,
114,0.002347,Domestic,
114,0.00241,Domestic,
114,0.002664,Domestic,
114,0.002854,Domestic,
114,0.002854,Domestic,
114,0.003171,Domestic,
114,0.003203,Domestic,
114,0.003361,Domestic,
114,0.003551,Domestic,
114,0.00371,Domestic,
114,0.00371,Domestic,
114,0.003964,Domestic,
114,0.004408,Domestic,
114,0.004598,Domestic,
114,0.00463,Domestic,
114,0.006088,Domestic,
114,0.006152,Domestic,
114,0.006691,Domestic,
